task,method,seed,stable,raised,qualified_success,terminations,max_tilt_rad,min_root_height_m
raise-right-hand,raw-generated,2650443586,False,False,False,1,0.5018276572227478,0.7501576542854309
raise-right-hand,raw-generated,2650443587,False,False,False,1,0.5013409852981567,0.7499430179595947
raise-right-hand,raw-generated,2650443588,False,False,False,1,0.5211966037750244,0.7463701367378235
raise-right-hand,raw-generated,2650443589,False,False,False,1,0.5260287523269653,0.7462049126625061
raise-right-hand,raw-generated,2650443590,False,False,False,1,0.5258383750915527,0.7451661229133606
raise-right-hand,stable-base-composition,2650443586,True,True,True,0,0.4320454001426697,0.6882447600364685
raise-right-hand,stable-base-composition,2650443587,True,True,True,0,0.4285699725151062,0.6853085160255432
raise-right-hand,stable-base-composition,2650443588,True,True,True,0,0.43821778893470764,0.6934899687767029
raise-right-hand,stable-base-composition,2650443589,True,True,True,0,0.43265247344970703,0.6883605122566223
raise-right-hand,stable-base-composition,2650443590,True,True,True,0,0.42828503251075745,0.6844627261161804
raise-left-hand,raw-generated,2650443586,False,False,False,1,0.5261989831924438,0.6971321105957031
raise-left-hand,raw-generated,2650443587,False,False,False,1,0.5177916884422302,0.6975349187850952
raise-left-hand,raw-generated,2650443588,False,False,False,1,0.5124238729476929,0.7059293985366821
raise-left-hand,raw-generated,2650443589,False,False,False,1,0.528656005859375,0.6968212127685547
raise-left-hand,raw-generated,2650443590,False,False,False,1,0.5150819420814514,0.6980248689651489
raise-left-hand,stable-base-composition,2650443586,True,True,True,0,0.21079334616661072,0.7220845222473145
raise-left-hand,stable-base-composition,2650443587,True,True,True,0,0.20309966802597046,0.7196808457374573
raise-left-hand,stable-base-composition,2650443588,True,True,True,0,0.21943151950836182,0.7284685373306274
raise-left-hand,stable-base-composition,2650443589,True,True,True,0,0.207665354013443,0.7229438424110413
raise-left-hand,stable-base-composition,2650443590,True,True,True,0,0.20366986095905304,0.7184011340141296
raise-both-hands,raw-generated,2650443586,False,False,False,1,0.5022304654121399,0.7075111865997314
raise-both-hands,raw-generated,2650443587,False,False,False,1,0.5025684833526611,0.7072998285293579
raise-both-hands,raw-generated,2650443588,False,False,False,1,0.5382592678070068,0.6960954070091248
raise-both-hands,raw-generated,2650443589,False,False,False,1,0.5012227892875671,0.7074705958366394
raise-both-hands,raw-generated,2650443590,False,False,False,1,0.5024940967559814,0.7073934078216553
raise-both-hands,stable-base-composition,2650443586,True,True,True,0,0.41197896003723145,0.7108098268508911
raise-both-hands,stable-base-composition,2650443587,True,True,True,0,0.40864381194114685,0.7084679007530212
raise-both-hands,stable-base-composition,2650443588,True,True,True,0,0.4163683354854584,0.7145206928253174
raise-both-hands,stable-base-composition,2650443589,True,True,True,0,0.4116339087486267,0.7111907005310059
raise-both-hands,stable-base-composition,2650443590,True,True,True,0,0.4077671468257904,0.7078550457954407
